epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,1014.2,0.54957,1.03028,0.16544,0.69539,1.08474,0.94251,0.95476,0.98189,0.92678,0.93907,0.95133,0.97755,0.84548,0.35967,0.62013,0.12376,0.29612,0.71792,0.00200248,0.000667492,0.00200248,0.000667492,0.00200248,0.000667492,0.00200248,0.000667492
22,1064.7,0.54925,1.02789,0.16472,0.68579,1.08687,0.95178,0.97027,0.98245,0.93941,0.96477,0.94915,0.97907,0.84688,0.32269,0.61222,0.11924,0.28127,0.71093,0.00198725,0.000662417,0.00198725,0.000662417,0.00198725,0.000662417,0.00198725,0.000662417
23,1114.97,0.54383,1.07275,0.1643,0.67123,1.08675,0.97373,0.95557,0.98131,0.94068,0.97086,0.95291,0.97803,0.84762,0.31927,0.62094,0.12582,0.27774,0.71844,0.00197202,0.000657341,0.00197202,0.000657341,0.00197202,0.000657341,0.00197202,0.000657341
24,1165.07,0.53448,1.05258,0.16301,0.65178,1.07689,0.95974,0.96171,0.98192,0.94161,0.96374,0.95011,0.97609,0.85748,0.30547,0.6016,0.11771,0.27002,0.70171,0.0019568,0.000652266,0.0019568,0.000652266,0.0019568,0.000652266,0.0019568,0.000652266
25,1215.24,0.53498,1.07791,0.16418,0.63827,1.08132,0.9767,0.95593,0.98327,0.94199,0.97384,0.95121,0.97557,0.84986,0.3141,0.61258,0.11855,0.26231,0.71572,0.00194157,0.00064719,0.00194157,0.00064719,0.00194157,0.00064719,0.00194157,0.00064719
26,1265.12,0.53133,1.06996,0.16151,0.64649,1.08008,0.96602,0.9627,0.98626,0.93763,0.96322,0.95994,0.98313,0.85625,0.33574,0.61761,0.11942,0.27606,0.71476,0.00192635,0.000642115,0.00192635,0.000642115,0.00192635,0.000642115,0.00192635,0.000642115
27,1315.47,0.52702,1.00507,0.16036,0.62525,1.07651,0.97184,0.96514,0.97996,0.94444,0.97116,0.96355,0.97631,0.84942,0.3082,0.60354,0.1181,0.26359,0.6994,0.00191112,0.00063704,0.00191112,0.00063704,0.00191112,0.00063704,0.00191112,0.00063704
28,1365.73,0.521,1.00494,0.15719,0.62343,1.07144,0.96428,0.96849,0.9838,0.94455,0.96133,0.96575,0.979,0.86231,0.32064,0.59522,0.12394,0.2632,0.70513,0.00189589,0.000631964,0.00189589,0.000631964,0.00189589,0.000631964,0.00189589,0.000631964
29,1415.79,0.525,1.0255,0.15668,0.61837,1.0717,0.97424,0.96229,0.98592,0.94957,0.97136,0.95946,0.98243,0.86473,0.30134,0.59611,0.11839,0.26041,0.70208,0.00188067,0.000626889,0.00188067,0.000626889,0.00188067,0.000626889,0.00188067,0.000626889
30,1465.35,0.52477,0.98767,0.15792,0.60704,1.07128,0.96165,0.96826,0.98542,0.95165,0.95823,0.96501,0.98119,0.868,0.31858,0.57739,0.11229,0.26498,0.70327,0.00186544,0.000621813,0.00186544,0.000621813,0.00186544,0.000621813,0.00186544,0.000621813
31,1515.18,0.51477,0.95743,0.15469,0.59889,1.06401,0.96924,0.97036,0.98544,0.95485,0.96708,0.96834,0.98105,0.8688,0.2966,0.58106,0.11615,0.24897,0.6965,0.00185021,0.000616738,0.00185021,0.000616738,0.00185021,0.000616738,0.00185021,0.000616738
32,1565.61,0.49542,0.99711,0.15659,0.57627,1.05126,0.96267,0.97684,0.98202,0.95122,0.96134,0.97546,0.97981,0.86874,0.2962,0.58108,0.11848,0.25328,0.69153,0.00183499,0.000611663,0.00183499,0.000611663,0.00183499,0.000611663,0.00183499,0.000611663
33,1615.23,0.50631,0.97793,0.15447,0.58665,1.06343,0.9705,0.97674,0.98822,0.95123,0.96767,0.97392,0.98414,0.87033,0.3112,0.59659,0.11296,0.24538,0.69563,0.00181976,0.000606587,0.00181976,0.000606587,0.00181976,0.000606587,0.00181976,0.000606587
34,1665.02,0.50061,0.93184,0.15279,0.55946,1.05273,0.97385,0.96733,0.98799,0.95724,0.97064,0.96277,0.98202,0.86491,0.29156,0.61881,0.10881,0.24792,0.68701,0.00180454,0.000601512,0.00180454,0.000601512,0.00180454,0.000601512,0.00180454,0.000601512
35,1714.84,0.50689,0.9256,0.15175,0.56806,1.05901,0.97001,0.96866,0.98796,0.958,0.96638,0.96515,0.98386,0.87087,0.29449,0.60887,0.10861,0.23849,0.6911,0.00178931,0.000596436,0.00178931,0.000596436,0.00178931,0.000596436,0.00178931,0.000596436
36,1764.2,0.49406,0.93949,0.15191,0.55456,1.05489,0.9702,0.97049,0.98862,0.95853,0.96951,0.9698,0.98705,0.86859,0.29428,0.59888,0.10591,0.24333,0.69131,0.00177408,0.000591361,0.00177408,0.000591361,0.00177408,0.000591361,0.00177408,0.000591361
37,1807.46,0.49694,0.93429,0.14934,0.56099,1.05323,0.97223,0.97741,0.98844,0.95723,0.96859,0.97389,0.98336,0.86625,0.2874,0.60392,0.10752,0.24376,0.69427,0.00175886,0.000586286,0.00175886,0.000586286,0.00175886,0.000586286,0.00175886,0.000586286
38,1850.86,0.49183,0.92244,0.15092,0.54961,1.0515,0.96939,0.97285,0.98589,0.95604,0.9679,0.97065,0.98265,0.87713,0.29551,0.59,0.10499,0.2414,0.69354,0.00174363,0.00058121,0.00174363,0.00058121,0.00174363,0.00058121,0.00174363,0.00058121
39,1894.27,0.48855,0.93606,0.14854,0.55171,1.05439,0.97498,0.96247,0.98972,0.9554,0.97201,0.95972,0.98392,0.88677,0.30824,0.58023,0.1059,0.23732,0.69218,0.0017284,0.000576135,0.0017284,0.000576135,0.0017284,0.000576135,0.0017284,0.000576135
40,1938.16,0.49283,0.94557,0.14804,0.54651,1.0519,0.97459,0.96689,0.98576,0.95788,0.97658,0.96556,0.98408,0.87173,0.29374,0.56363,0.10547,0.23497,0.68632,0.00171318,0.000571059,0.00171318,0.000571059,0.00171318,0.000571059,0.00171318,0.000571059
